,VC,Size,Internal Weight,External Weight,Quality,P-value,Min Dist,Max Dist,Total Dist,Below Thres,Taxon Prediction Score,Avg Dist,Members,order,family,genus
0,VC_0_0,2,158.2156147619902,511.0779548192053,0.23639195407329586,0.09925387503776857,1.7320508075688772,1.7320508075688772,1,1,1.0,1.7320508075688772,"Achromobacter~phage~83-24,Achromobacter~phage~JWX",['Caudovirales'],['Siphoviridae'],['Jwxvirus']
1,VC_100_0,4,283.5252107915217,0,1.0,1,2.0,4.795831523312719,6,6,1.0,3.872657545992025,"Bacillus~phage~Bam35c,Bacillus~phage~GIL16c,Bacillus~phage~Wip1,Bacillus~virus~AP50",['Unassigned'],['Tectiviridae'],['Betatectivirus']
2,VC_101_0,13,23400.0,29294.748276502516,0.4440670230971472,4.544144804128464e-43,2.0,8.831760866327848,78,78,1.0,6.993950367193395,"Staphylococcus~phage~812,Staphylococcus~phage~GH15,Staphylococcus~phage~JD007,Staphylococcus~phage~MCE-2014,Staphylococcus~phage~P108,Staphylococcus~phage~S25-3,Staphylococcus~phage~S25-4,Staphylococcus~phage~Sb-1,Staphylococcus~phage~Team1,Staphylococcus~phage~phiIPLA-RODI,Staphylococcus~phage~phiSA12,Staphylococcus~virus~G1,Staphylococcus~virus~K","['Unassigned', 'Caudovirales']","['Unassigned', 'Myoviridae']","['Unassigned', 'Kayvirus']"
3,VC_101_1,4,1800.0,17074.372345158412,0.09536740968563809,3.540040162570951e-05,3.872983346207417,6.244997998398398,6,6,1.0,5.278838785142187,"Staphylococcus~phage~Stau2,Staphylococcus~phage~vB_SauM_Remus,Staphylococcus~phage~vB_SauM_Romulus,Staphylococcus~virus~SA11",['Caudovirales'],['Myoviridae'],['Silviavirus']
4,VC_101_2,1,0,5222.533020568933,0.0,1,0,0,1,1,1,0,Staphylococcus~phage~Twort,['Caudovirales'],['Myoviridae'],['Twortvirus']
5,VC_101_3,1,0,5450.45811387344,0.0,1,0,0,1,1,1,0,Staphylococcus~phage~phiIPLA-C1C,['Caudovirales'],['Myoviridae'],['Sep1virus']
6,VC_102_0,3,471.5496357769265,665.2713525762729,0.4147967363445796,0.004162716039864557,2.23606797749979,3.3166247903554,3,3,1.0,2.7937066308671263,"Bacillus~phage~Fah,Bacillus~phage~Gamma,Bacillus~virus~Wbeta","['Unassigned', 'Caudovirales']","['Unassigned', 'Siphoviridae']","['Unassigned', 'Wbetavirus']"
7,VC_105_0,2,147.8309381551462,32.5341400696817,0.8196206250684105,0.4,2.23606797749979,2.23606797749979,1,1,1.0,2.23606797749979,"Bacillus~phage~TP21-L,Bacillus~virus~BMBtp2",['Caudovirales'],['Siphoviridae'],['Tp21virus']
8,VC_106_0,3,410.72151181535713,539.6624333367795,0.4321637732943912,0.004219824853504766,0.0,7.3484692283495345,3,3,1.0,4.898979485566357,"Clostridium~phage~phiCT19406B,Clostridium~phage~phiCT453B,Clostridium~phage~phiCTC2B",['Unassigned'],['Unassigned'],['Unassigned']
9,VC_107_0,4,1760.0759737532544,2.4285181290028124,0.9986221208852584,0.20719629817229768,3.4641016151377544,4.69041575982343,6,6,1.0,4.281872265679157,"Bacillus~phage~Slash,Bacillus~phage~Stahl,Bacillus~phage~Staley,Bacillus~phage~Stills",['Caudovirales'],['Siphoviridae'],['Slashvirus']
