Genome,Order,Family,Genus,preVC,VC Status,VC,VC Size,Quality,Adjusted P-value,VC Avg Distance,Topology Confidence Score,Genus Confidence Score,VC Orders,VC Families,VC Genera
Acholeplasma~phage~MV-L1,Unassigned,Inoviridae,Plectrovirus,,Singleton,,,,,,,,,,
Acholeplasma~virus~L2,Unassigned,Plasmaviridae,Plasmavirus,,Singleton,,,,,,,,,,
Achromobacter~phage~83-24,Caudovirales,Siphoviridae,Jwxvirus,preVC_0,Clustered,VC_0_0,2,0.2565,0.89987904,1.7320508075688772,0.2309,1.0,1,1,1
Achromobacter~phage~JWAlpha,Caudovirales,Podoviridae,Jwalphavirus,preVC_4,Clustered,VC_4_0,13,0.5213,1.0,7.157621705381244,0.5213,0.8205,1,1,4
Achromobacter~phage~JWF,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
Achromobacter~phage~JWX,Caudovirales,Siphoviridae,Jwxvirus,preVC_0,Clustered,VC_0_0,2,0.2565,0.89987904,1.7320508075688772,0.2309,1.0,1,1,1
Achromobacter~phage~phiAxp-1,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
Achromobacter~phage~phiAxp-2,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
Achromobacter~phage~phiAxp-3,Caudovirales,Podoviridae,Jwalphavirus,preVC_4,Clustered,VC_4_0,13,0.5213,1.0,7.157621705381244,0.5213,0.8205,1,1,4
Acidianus~bottle-shaped~virus,Unassigned,Ampullaviridae,Ampullavirus,preVC_15,Clustered,VC_15_0,3,1.0,0.0,3.8631317484632617,0.0,1.0,0,1,1
Acidianus~bottle-shaped~virus~2,Unassigned,Unassigned,Unassigned,preVC_15,Clustered,VC_15_0,3,1.0,0.0,3.8631317484632617,0.0,1.0,0,1,1
Acidianus~bottle-shaped~virus~3,Unassigned,Unassigned,Unassigned,preVC_15,Clustered,VC_15_0,3,1.0,0.0,3.8631317484632617,0.0,1.0,0,1,1
Acidianus~filamentous~virus~1,Ligamenvirales,Lipothrixviridae,Gammalipothrixvirus,,Singleton,,,,,,,,,,
Acidianus~filamentous~virus~2,Ligamenvirales,Lipothrixviridae,Deltalipothrixvirus,,Outlier,,,,,,,,,,
Acidianus~filamentous~virus~3,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,preVC_16,Clustered,VC_16_0,6,0.9597,0.99999592,5.06489228220609,0.9597,1.0,1,1,1
Acidianus~filamentous~virus~6,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,preVC_16,Clustered,VC_16_0,6,0.9597,0.99999592,5.06489228220609,0.9597,1.0,1,1,1
Acidianus~filamentous~virus~7,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,preVC_16,Clustered,VC_16_0,6,0.9597,0.99999592,5.06489228220609,0.9597,1.0,1,1,1
Acidianus~filamentous~virus~8,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,preVC_16,Clustered,VC_16_0,6,0.9597,0.99999592,5.06489228220609,0.9597,1.0,1,1,1
Acidianus~filamentous~virus~9,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,preVC_16,Clustered,VC_16_0,6,0.9597,0.99999592,5.06489228220609,0.9597,1.0,1,1,1
Acidianus~rod-shaped~virus~1,Ligamenvirales,Rudiviridae,Rudivirus,,Outlier,,,,,,,,,,
Acidianus~rod-shaped~virus~2,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
Acidianus~spindle-shaped~virus~1,Unassigned,Fuselloviridae,Betafusellovirus,preVC_19,Clustered,VC_19_0,9,0.9137,0.99999546,4.370833503818102,0.9137,1.0,0,1,2
Acidianus~tailed~spindle~virus,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
Acidianus~two-tailed~virus,Unassigned,Bicaudaviridae,Bicaudavirus,,Outlier,,,,,,,,,,
Acinetobacter~bacteriophage~AP22,Caudovirales,Myoviridae,Ap22virus,preVC_21,Clustered,VC_21_0,4,0.7655,0.99989226,5.294459108688133,0.7654,1.0,1,1,1
Acinetobacter~phage~AB3,Caudovirales,Podoviridae,Fri1virus,preVC_23,Clustered,VC_23_0,10,0.6565,1.0,3.881775176694806,0.6565,1.0,1,1,1
Acinetobacter~phage~AP205,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
Acinetobacter~phage~Abp1,Caudovirales,Podoviridae,Fri1virus,preVC_23,Clustered,VC_23_0,10,0.6565,1.0,3.881775176694806,0.6565,1.0,1,1,1
Acinetobacter~phage~Ac42,Unassigned,Unassigned,Unassigned,preVC_27,Clustered/Singleton,VC_27_6,1,0.0,0.0,0,0.0,1.0,0,0,0
Acinetobacter~phage~Acj61,Unassigned,Unassigned,Unassigned,preVC_27,Clustered,VC_27_4,2,0.015,0.91203542,8.660254037844387,0.0137,1.0,0,0,0
Acinetobacter~phage~Acj9,Unassigned,Unassigned,Unassigned,preVC_27,Clustered,VC_27_4,2,0.015,0.91203542,8.660254037844387,0.0137,1.0,0,0,0
Acinetobacter~phage~Bphi-B1251,Unassigned,Unassigned,Unassigned,preVC_33,Clustered,VC_33_0,2,0.2129,0.88827265,6.082762530298219,0.1891,1.0,0,0,0
Acinetobacter~phage~Fri1,Caudovirales,Podoviridae,Fri1virus,preVC_23,Clustered,VC_23_0,10,0.6565,1.0,3.881775176694806,0.6565,1.0,1,1,1
Acinetobacter~phage~IME_AB3,Unassigned,Unassigned,Unassigned,preVC_1,Clustered,VC_1_0,8,0.6397,1.0,4.7010451966495586,0.6397,1.0,1,1,2
Acinetobacter~phage~LZ35,Unassigned,Unassigned,Unassigned,preVC_21,Clustered,VC_21_0,4,0.7655,0.99989226,5.294459108688133,0.7654,1.0,1,1,1
Acinetobacter~phage~Petty,Unassigned,Unassigned,Unassigned,preVC_23,Clustered,VC_23_0,10,0.6565,1.0,3.881775176694806,0.6565,1.0,1,1,1
Acinetobacter~phage~Presley,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
Acinetobacter~phage~YMC-13-01-C62,Caudovirales,Myoviridae,Ap22virus,preVC_21,Clustered,VC_21_0,4,0.7655,0.99989226,5.294459108688133,0.7654,1.0,1,1,1
Acinetobacter~phage~YMC11/12/R2315,Unassigned,Unassigned,Unassigned,preVC_21,Clustered,VC_21_0,4,0.7655,0.99989226,5.294459108688133,0.7654,1.0,1,1,1
Acinetobacter~phage~YMC13/03/R2096,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
Acinetobacter~phage~ZZ1,Unassigned,Unassigned,Unassigned,preVC_27,Clustered/Singleton,VC_27_5,1,0.0,0.0,0,0.0,1.0,0,0,0
Acinetobacter~phage~phiAB1,Caudovirales,Podoviridae,Fri1virus,preVC_23,Clustered,VC_23_0,10,0.6565,1.0,3.881775176694806,0.6565,1.0,1,1,1
Acinetobacter~phage~phiAB6,Unassigned,Unassigned,Unassigned,preVC_23,Clustered,VC_23_0,10,0.6565,1.0,3.881775176694806,0.6565,1.0,1,1,1
Acinetobacter~phage~phiAC-1,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
Acinetobacter~phage~vB_AbaM_Acibel004,Unassigned,Unassigned,Unassigned,preVC_35,Clustered,VC_35_0,2,0.1961,0.90317054,4.58257569495584,0.1771,1.0,0,0,0
Acinetobacter~phage~vB_AbaM_IME200,Caudovirales,Podoviridae,Fri1virus,preVC_23,Clustered,VC_23_0,10,0.6565,1.0,3.881775176694806,0.6565,1.0,1,1,1
Acinetobacter~phage~vB_AbaM_phiAbaA1,Unassigned,Unassigned,Unassigned,preVC_35,Clustered,VC_35_0,2,0.1961,0.90317054,4.58257569495584,0.1771,1.0,0,0,0
Acinetobacter~phage~vB_AbaP_Acibel007,Unassigned,Unassigned,Unassigned,preVC_23,Clustered,VC_23_0,10,0.6565,1.0,3.881775176694806,0.6565,1.0,1,1,1
Acinetobacter~phage~vB_AbaP_PD-6A3,Caudovirales,Podoviridae,Fri1virus,preVC_23,Clustered,VC_23_0,10,0.6565,1.0,3.881775176694806,0.6565,1.0,1,1,1
Acinetobacter~phage~vB_AbaP_PD-AB9,Caudovirales,Podoviridae,Fri1virus,preVC_23,Clustered,VC_23_0,10,0.6565,1.0,3.881775176694806,0.6565,1.0,1,1,1
Acinetobacter~phage~vB_AbaS_TRS1,Unassigned,Unassigned,Unassigned,preVC_33,Clustered,VC_33_0,2,0.2129,0.88827265,6.082762530298219,0.1891,1.0,0,0,0
Acinetobacter~virus~133,Caudovirales,Myoviridae,Unassigned,preVC_27,Clustered/Singleton,VC_27_7,1,0.0,0.0,0,0.0,1.0,1,1,0
Actinomyces~virus~Av1,Caudovirales,Podoviridae,Unassigned,preVC_43,Clustered,VC_43_0,3,0.1763,0.9351873,2.5485837703548637,0.1649,1.0,1,1,1
Actinoplanes~phage~phiAsp2,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
Aeromonas~phage~Aes012,Caudovirales,Myoviridae,Secunda5virus,preVC_28,Clustered,VC_28_1,5,0.0957,0.99999989,7.20856096249601,0.0957,0.9,1,1,1
Aeromonas~phage~Aes508,Caudovirales,Myoviridae,Secunda5virus,preVC_28,Clustered,VC_28_1,5,0.0957,0.99999989,7.20856096249601,0.0957,0.9,1,1,1
Aeromonas~phage~CC2,Unassigned,Unassigned,Unassigned,preVC_29,Clustered,VC_29_0,2,0.0313,0.9136278,7.0710678118654755,0.0286,1.0,1,1,0
Aeromonas~phage~PX29,Unassigned,Unassigned,Unassigned,preVC_29,Clustered,VC_29_1,3,0.0576,0.997086,7.259897796681266,0.0574,1.0,1,1,0
Aeromonas~phage~pAh6-C,Unassigned,Unassigned,Unassigned,preVC_50,Clustered,VC_50_0,5,1.0,0.0,5.891890583332365,0.0,1.0,0,0,0
Aeromonas~phage~phiAS4,Caudovirales,Myoviridae,Secunda5virus,preVC_28,Clustered,VC_28_1,5,0.0957,0.99999989,7.20856096249601,0.0957,0.9,1,1,1
Aeromonas~phage~phiAS5,Unassigned,Unassigned,Unassigned,preVC_29,Clustered,VC_29_1,3,0.0576,0.997086,7.259897796681266,0.0574,1.0,1,1,0
Aeromonas~phage~phiAS7,Unassigned,Unassigned,Unassigned,preVC_53,Clustered,VC_53_0,5,0.6121,0.99999981,4.069053572521353,0.6121,1.0,0,0,0
Aeromonas~phage~vB_AsaM-56,Unassigned,Unassigned,Unassigned,preVC_22,Clustered,VC_22_0,2,0.089,0.93103448,8.06225774829855,0.0828,1.0,0,0,0
Aeromonas~virus~25,Caudovirales,Myoviridae,Secunda5virus,preVC_28,Clustered,VC_28_1,5,0.0957,0.99999989,7.20856096249601,0.0957,0.9,1,1,1
Aeromonas~virus~31,Caudovirales,Myoviridae,Secunda5virus,preVC_28,Clustered,VC_28_0,2,0.0228,0.89675387,2.449489742783178,0.0204,1.0,1,1,2
Aeromonas~virus~44RR2,Caudovirales,Myoviridae,Biquartavirus,preVC_28,Clustered,VC_28_0,2,0.0228,0.89675387,2.449489742783178,0.0204,1.0,1,1,2
Aeromonas~virus~65,Caudovirales,Myoviridae,Unassigned,preVC_29,Clustered,VC_29_0,2,0.0313,0.9136278,7.0710678118654755,0.0286,1.0,1,1,0
Aeromonas~virus~Aeh1,Caudovirales,Myoviridae,Unassigned,preVC_29,Clustered,VC_29_1,3,0.0576,0.997086,7.259897796681266,0.0574,1.0,1,1,0
Aeromonas~virus~phiO18P,Caudovirales,Myoviridae,Hp1virus,preVC_57,Clustered,VC_57_0,7,0.6226,1.0,5.202090999428437,0.6226,1.0,1,1,1
Aeropyrum~pernix~ovoid~virus~1,Unassigned,Guttaviridae,Betaguttavirus,,Singleton,,,,,,,,,,
Aeropyrum~pernix~spindle-shaped~virus~1,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
Aggregatibacter~phage~S1249,Unassigned,Unassigned,Unassigned,preVC_12,Clustered,VC_12_0,2,0.6373,0.85533851,4.123105625617661,0.5451,1.0,0,0,0
Agrobacterium~phage~7-7-1,Unassigned,Unassigned,Unassigned,preVC_58,Clustered,VC_58_0,3,0.2252,0.69852941,7.784484140096478,0.1573,1.0,1,1,1
Alteromonas~phage~vB_AmaP_AD45-P1,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
Anabaena~phage~A-4L,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
