,VC,Size,Internal Weight,External Weight,Quality,P-value,Min Dist,Max Dist,Total Dist,Below Thres,Taxon Prediction Score,Avg Dist,Members,order,family,genus
0,VC_0_0,2,146.97713393805165,425.94538829326257,0.2565392845190164,0.10012096293648627,1.7320508075688772,1.7320508075688772,1,1,1.0,1.7320508075688772,"Achromobacter~phage~83-24,Achromobacter~phage~JWX",['Caudovirales'],['Siphoviridae'],['Jwxvirus']
1,VC_1000_0,2,8.493436364062621,0,1.0,1,1.0,1.0,1,1,1.0,1.0,"k141_15403||full,k141_371961||full",['Unassigned'],['Unassigned'],['Unassigned']
2,VC_1001_0,2,4.700519635920049,0,1.0,1,1.0,1.0,1,1,1.0,1.0,"k141_154081||full,k141_154129||full",['Unassigned'],['Unassigned'],['Unassigned']
3,VC_1002_0,2,5.098459644538757,0,1.0,1,1.0,1.0,1,1,1.0,1.0,"k141_154324||full,k141_600505||full",['Unassigned'],['Unassigned'],['Unassigned']
4,VC_1003_0,4,41.816136122448384,185.8660174485121,0.18366013965787514,0.006247746135686067,0.0,1.4142135623730951,6,6,1.0,0.9023689270621825,"k141_154372||full,k141_424873||full,k141_63632||full,k141_66667||full",['Unassigned'],['Unassigned'],['Unassigned']
5,VC_1004_0,13,251.01714332737478,12.259323938917287,0.9534355498377395,0.009932264070594245,0.0,3.3166247903554,78,78,1.0,1.7598101719490684,"k141_154434||full,k141_203278||full,k141_236884||full,k141_307964||full,k141_393882||full,k141_412337||0_partial,k141_440648||full,k141_538752||full,k141_555117||full,k141_560914||full,k141_60166||full,k141_63819||full,k141_94435||full",['Unassigned'],['Unassigned'],['Unassigned']
6,VC_1006_0,2,9.338534404112568,62.75787005253165,0.12952843452447582,0.15384615384615385,1.0,1.0,1,1,1.0,1.0,"k141_247440||full,k141_340064||full",['Unassigned'],['Unassigned'],['Unassigned']
7,VC_1007_0,2,7.01633909770576,1.6972165271575026,0.805221128982678,1.0,1.0,1.0,1,1,1.0,1.0,"k141_422114||full,k141_61651||full",['Unassigned'],['Unassigned'],['Unassigned']
8,VC_1008_0,2,1.2385911294100431,0,1.0,1,0.0,0.0,1,1,1.0,0.0,"k141_155436||full,k141_223014||full",['Unassigned'],['Unassigned'],['Unassigned']
9,VC_1009_0,3,15.897438924980724,64.45618100065958,0.19784346915163628,0.0053850936268388895,0.0,0.0,3,3,1.0,0.0,"k141_155467||full,k141_168152||full,k141_204947||full",['Unassigned'],['Unassigned'],['Unassigned']
10,VC_100_0,7,1568.5141760437461,2268.4147083076805,0.4087941745391195,1.6471598814750078e-14,3.0,6.782329983125268,21,21,1.0,5.366380431670747,"k141_168931||full,k141_203143||full,k141_249877||full_1,k141_305603||full_1,k141_469461||full,k141_505059||full,k141_543616||full",['Unassigned'],['Unassigned'],['Unassigned']
11,VC_1010_0,3,3.7157733882301294,0,1.0,1,0.0,0.0,3,3,1.0,0.0,"k141_155631||full,k141_359171||full,k141_550917||full",['Unassigned'],['Unassigned'],['Unassigned']
12,VC_1011_0,3,17.933404945912848,5.098459644538757,0.7786345250287533,1.0,1.0,1.7320508075688772,3,3,1.0,1.3820881233139908,"k141_155636||full,k141_276675||full,k141_465118||full",['Unassigned'],['Unassigned'],['Unassigned']
13,VC_1012_0,2,4.496403401117199,3.5846557034518405,0.5564126363801655,0.4795001221869535,1.4142135623730951,1.4142135623730951,1,1,1.0,1.4142135623730951,"k141_155850||full,k141_525064||full",['Unassigned'],['Unassigned'],['Unassigned']
14,VC_1013_0,7,99.87760793522648,10.867339760306074,0.9018705594571836,0.030309628238570155,0.0,2.0,21,21,1.0,1.136019355264334,"k141_156203||full,k141_156234||full,k141_201936||full,k141_3653||full,k141_385246||full,k141_581059||full,k141_98005||full",['Unassigned'],['Unassigned'],['Unassigned']
15,VC_1014_0,5,48.47195040616316,16.50986744921255,0.7459309697066785,0.10110974097780144,0.0,1.7320508075688772,10,10,1.0,1.1706742302257038,"k141_226084||full,k141_350854||full,k141_432496||full,k141_541625||full,k141_586226||full",['Unassigned'],['Unassigned'],['Unassigned']
16,VC_1015_0,2,3.358096955069689,3.667245756575232,0.4779975999609876,0.6666666666666666,2.8284271247461903,2.8284271247461903,1,1,1.0,2.8284271247461903,"k141_156658||full,k141_171705||full",['Unassigned'],['Unassigned'],['Unassigned']
17,VC_1016_0,3,16.935858499488596,0,1.0,1,1.7320508075688772,2.23606797749979,3,3,1.0,1.9893729283562223,"k141_157105||full,k141_523147||full,k141_8757||full",['Unassigned'],['Unassigned'],['Unassigned']
