contig_id	contig_length	viral_length	aai_expected_length	aai_completeness	aai_confidence	aai_error	aai_num_hits	aai_top_hit	aai_id	aai_af	hmm_completeness_lower	hmm_completeness_upper	hmm_num_hits	kmer_freq
k141_60132||full	2028	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_240535||full	5477	NA	43079.57325557301	12.713682114507636	low	22.1130987526063	58	DTR_503008	47.47	16.11	NA	NA	0	1.0
k141_40749||full	2032	NA	49519.90358946365	4.10340055757368	medium	7.90591497421755	24	GCA_004782365.1	52.1	39.53	NA	NA	0	1.0
k141_402400||full	4137	NA	111830.0	3.6993651077528393	low	25.6613586747143	1	DTR_782969	44.0	7.82	NA	NA	0	1.0
k141_563411||full	8364	NA	62229.05499787402	13.440666904367657	low	16.4293487069065	40	GCA_004875585.1	27.41	32.02	NA	NA	0	1.0
k141_285079||full	1930	NA	46474.728618472625	4.152794556035062	high	4.76556921306407	22	DTR_668144	75.3	39.04	NA	NA	0	1.0
k141_246994||full	790	NA	40280.496951647794	1.9612469055391897	medium	5.34451919204702	6	DTR_594299	53.48	77.06	NA	NA	0	1.0
k141_146135||full	2852	NA	41426.738265872315	6.884442559045255	low	11.3661940130542	18	DTR_635058	37.9	54.77	NA	NA	0	1.0
k141_268624||full	1682	NA	46749.2625131312	3.5979177201513077	low	10.8819485366333	82	DTR_386761	39.93	50.88	NA	NA	0	1.0
k141_527639||full	2721	NA	41681.910466758876	6.528011719064519	low	12.9831144465291	10	DTR_788626	34.6	58.8	4.97	8.51	1	1.0
k141_48127||full	660	NA	45798.0	1.4411109655443468	medium	9.77479763844736	1	NC_022980	46.2	68.07	NA	NA	0	1.0
k141_508746||full	17506	NA	15477.216146619015	100.0	high	2.78987430619587	5	DTR_600897	63.9	60.42	11.09	45.22	1	1.0
k141_229602||full	18336	NA	43276.41984593039	42.369493745736165	high	2.51081349894756	16	DTR_537615	73.81	66.87	15.761059459023036	50.11415187347297	6	1.0
k141_291867||full	2067	NA	94525.48601951203	2.1867118457061707	low	14.7807123818755	14	DTR_358139	36.8	45.31	NA	NA	0	1.0
k141_171387||full	2005	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_112124||full	2419	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_12673||full	7198	NA	38439.66805000946	18.725447864522412	low	12.4955291822468	99	DTR_575036	33.77	38.04	16.99	21.580000000000002	1	1.0
k141_295118||full	9514	NA	7069.4346396164365	100.0	medium	7.72496529642426	2	Sp_2565708309_ASTA01000019	60.51	19.49	NA	NA	0	1.0
k141_356008||full	8745	NA	79548.2176904447	10.993332413845453	low	27.4561384438116	115	NC_006356	36.8	10.62	NA	NA	0	1.08
k141_278358||full	2675	NA	60470.788937721096	4.423623450249647	low	20.4541717367711	3	DTR_699597	31.7	33.82	NA	NA	0	1.0
k141_516849||full	846	NA	50234.47433966773	1.6841024239243503	medium	6.03013749241285	8	DTR_387132	51.52	77.5	NA	NA	0	1.0
k141_298771||full	4311	NA	41076.65751344126	10.495011670775154	low	14.8948266060262	7	DTR_780999	50.62	20.51	NA	NA	0	1.0
k141_339839||full	13910	NA	38909.23544438427	35.74986720025005	medium	7.3657234635552	6	DTR_089102	49.71	59.47	19.474849925769085	40.99007926601576	6	1.0
k141_540503||full	892	NA	45255.53662254312	1.9710295503504613	low	27.3285119438966	7	DTR_636081	26.97	92.88	NA	NA	0	1.0
k141_600837||full	86894	NA	91474.0	94.99311279707895	medium	5.98247404002937	1	DTR_757161	49.86	31.04	69.9000280959133	98.12917681604483	40	1.0
k141_600840||full	2685	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_600842||full	4032	NA	43241.0	9.324483707592332	low	23.3177068073054	1	DTR_615650	29.2	21.74	NA	NA	0	1.0
k141_600844||full	8923	NA	40005.85362249826	22.30423598556071	low	20.3878139483986	127	DTR_170269	49.5	12.22	18.805172413793105	26.729827586206895	2	1.0
k141_600846||full	5386	NA	6048.00176512451	89.05420681353122	high	1.48247660798039	18	DTR_022239	100.0	100.0	96.1996519144704	99.83049477871707	7	1.0
k141_600849||full	5148	NA	6773.645805728265	76.00043090009953	low	18.1585854626757	3	DTR_351568	29.2	33.1	NA	NA	0	1.0
k141_600852||full	3484	NA	76508.24551622124	4.553757541416008	medium	7.44985673352436	35	DTR_518808	59.8	38.51	5.73	10.19	1	1.0
k141_600855||full	12932	NA	73948.23686122919	17.4879085004665	low	15.7472323702244	62	DTR_874266	41.44	22.07	16.82	42.37	1	1.0
k141_600861||full	7304	NA	43057.039796942125	16.963544253032286	low	10.0351978014638	192	DTR_237573	38.2	43.64	14.423804014649244	23.259782537369457	4	1.0
k141_600867||full	2473	NA	14372.526665951284	17.206438766668434	low	15.5486016037551	5	Sp_Ga0119773_10044273_Ga0119773_1004427	43.6	27.2	NA	NA	0	1.0
k141_600870||full	2323	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_600934||full	561	NA	47286.57864620233	1.1863831473141584	medium	7.84639697883956	164	DTR_643137	50.8	43.86	NA	NA	0	1.0
k141_320592||full	489	NA	40692.401999906106	1.2016985382212835	medium	8.8286542612647	14	DTR_078299	49.0	58.33	NA	NA	0	1.0
k141_440816||full	1454	NA	43278.0	3.3596746614908266	low	17.9409267776344	1	GCA_002603985.1	27.6	52.38	NA	NA	0	1.0
